iter	MultiClass
0	1.827103585
1	1.7312915
2	1.653748138
333	1.5955106344	1.53416430455	1.482283585666	1.448126807	7	1.411875428	8	1.376605989	1.340783646
1110	1.3198978511	1.289804112
12	1.267962059
13	1.24901868
14	1.229253275
15	1.210554457
16	1.194931836
17	1.178155687
18	1.166728124
19	1.155773268
20	1.144131834
21	1.133949373
22	1.124444522
23	1.114234835
24	1.106084771
25	1.097374204
26	1.089380224
27	1.084345865
28	1.076628675
29	1.071573553
30	1.065733616
31	1.059343046
32	1.053236277
33	1.049496822
34	1.043294521
35	1.038532757
36	1.033889871
37	1.028015332
38	1.024221746339	1.020096040	40	1.015752541	41	1.011911442	42	1.008447578
43	1.005704334
44	1.002950813
45	0.9988064884646	0.9969084484747	0.99426766548	0.9800950218
49	0.9773854265
50	0.975364197
51	0.9720061378
52	0.9695077615
53	0.967114981
54	0.9647431266
55	0.9619944287
56	0.9602853333
57	0.958316814
58	0.9551787706
59	0.9522127315
60	0.949277601
61	0.9456513255
62	0.9434644785
63	0.9419872289
64	0.938444317
65	0.9354226972
66	0.9330242126
67	0.9305901689
68	0.9285801565
69	0.9271371281
70	0.9248570298
71	0.9217969034
72	0.9186735781
73	0.9172529787
74	0.9154196485
75	0.9148201106
76	0.9128131109
77	0.9114961794
78	0.9090462093
79	0.9074771128
80	0.9064739702
81	0.9040042598
82	0.9025844146
83	0.9017011438
84	0.9007212346
85	0.8994184258
86	0.8974566142
87	0.8949723516
88	0.8925782018
89	0.8905106401
90	0.8879362226
91	0.8846252773
92	0.8825754971
93	0.8812167336
94	0.879589917
95	0.8779706714
96	0.8752954897
97	0.8731350031
98	0.8710514788
99	0.86922182410100	0.8668660823
101	0.86559674310102	0.86386871310103	0.862686389101104	0.8592654710105	0.860806969106	0.8673124084
107	0.865316423
108108	0.8109	0.8109	0.860110	0.85110	0.858111	0.85111	0.857112	0.85112	0.854113	0.85113	0.853114	0.8114	0.8520115	0.8115	0.8508116	0.8116	0116	0117	0.8117	0117	0118	0.8118	0118	0119	0.8119119	0.8120	0.841120	0.83121	0.841121	0.83122	0.839122	0.83123	0.837123	0.83124	0.8355024344
125	0.8336932665
126	0.8318469358
127	0.8308506071
128	0.8286960587
129	0.827557974
130	0.8261770521
131	0.8241412696
132	0.8215350991
133	0.8200297561
134	0.8186804358
135	0.8158503012
136	0.8138827817
137	0.8123321533
138	0.8095414339
139	0.8071837658
140	0.8064543424
141	0.8054816483
142	0.8039384096
143	0.8019026939
144	0.7995144	0.7145	0.798145	0.79146	0.797146	0.7147	0.7952147	0.7148	0.7937449123
149	0.7932820844
150	0.791150	0.78151	0.790151	0.78152	0.788152	0.78153	0.787153	0.78154	0.78154	0.7799830173
155	0.777156	0.78156	0.7750569262
157	0.7741303656
158	0.7724252939
159	0.7710270351
160	0.7703071724
161	0.7686211388
162	0.7671641842
163	0.7652012824
164	0.7622384947
165	0.760166	0.76166	0.759167	0.76167	0.758168	0.76168	0.757169	0.76169	0.75170	0.762170	0.75171	0.761171	0.75172	0.760172	0.75173	0.758173	0.75174	0.75174	0.751175	0.75175	0.749176	0.7523420559
177	0.7509318967
178	0.7501399507
179	0.7488760521
180	0.7475358663
181	0.7457522324
182	0.74182	0.740183	0.74183	0.739184	0.74184	0.738185	0.73185	0.736186	0.73186	0.735187	0.7364804181
188	0.7355805694
189	0.7337421645
190	0.732247327
191	0.7295066251
192	0.7279776736
193	0.7268475562
194	0.7256994439
195	0.72195	0.722196	0.72196	0.721197	0.7220164555
198	0.7206763983
199	0.7193990747
200	0.7180806636
201	0.7164278943
202	0.7156462199
203	0.7138992403
204	0.713134906
205	0.7117523563
206	0.7100384458
207	0.7095658436
208	0.708401946
209	0.7075674673
210	0.7060581938
211	0.7048298709
212	0.7037212457
213	0.7025021453
214	0.701198978
215	0.6996553002
216	0.6976785359
217	0.696732541
218	0.6956115045
219	0.6949200074
