iter	Passed	Remaining
0	59	59244
1	89	44869
2	132	44017
3	196	48924
4	231	45979
5	268	44560
6	312	44391
7	366	45460
8	395	43511
99	462	4576910	472	42489
11	498	41079
12	550	41821
13	602	42415
14	667	43849
15	755	46475
16	821	47484
17	885	48287
18	937	48407
19	970	47530
20	1002	46734
21	1073	47706
22	1149	48820
23	1204	48993
24	1281	49980
25	1349	50563
26	1405	50652
27	1419	49284
28	1448	48500
29	1503	48622
30	1543	48258
31	1589	48069
32	1649	48348
33	1721	48915
34	1752	48325
35	1798	48169
36	1848	48107
37	1891	47892
38	1916	47218339	1949	46795440	1983	46402441	2025	46192442	2071	46107
43	2107	45796
44	2151	45654
45	2186	45345446	2244	45506447	2292	4545848	2353	45673
49	2402	45643
50	2459	45764
51	2506	45693
52	2546	45502
53	2596	45487
54	2633	45253
55	2687	45297
56	2732	45207
57	2782	45184
58	2815	44907
59	2844	44570
60	2878	44312
61	2927	44282
62	2975	44253
63	3001	43897
64	3047	43832
65	3083	43636
66	3122	43488
67	3166	43403
68	3200	43181
69	3235	42992
70	3273	42831
71	3309	42655
72	3332	42318
73	3373	42209
74	3406	42017
75	3432	41737776	3481	41731
77	3525	41670
78	3563	41538
79	3594	41341
80	3634	41234
81	3683	41238
82	3715	41045
83	3757	40978
84	3805	40964
85	3851	40937
86	3897	40897
87	3935	40788
88	3988	40823
89	4018	40633
90	4053	40490
91	4093	40401
92	4132	40305
93	4174	40232
94	4212	40128
95	4240	39931
96	4280	39849
97	4323	39796
98	4350	39591
99	4381	39429
100	4407	392301101	4436	390591102	4480	390211103	4511	38872104	4534	38647
1105	4582	3864911106	4602	384110107	4636	38291108	4691	3835311109	4715	381411110	4754	380811111	4788	379611112	4820	378311113	4854	377211114	4902	377211115	4933	3759116	4978	37571
117	5015	37490
118	5053	37411
1119	5097	373811120	5159	374841121	5202	374441122	5235	373251123	5273	37252124	5337	37359
125	5382	37334
126	5419	37251
127	5453	37149
128	5502	37149
129	5544	37104
130	5587	37065
131	5623	36978
132	5657	36877
133	5699	36832
134	5721	36663
135	5751	36540
136	5796	36515
137	5821	36365
138	5870	36361
139	5915	36337
140	5958	36299
141	5995	36224
142	6028	36128
143	6081	36149
144	6078	35841
1145	6132	358711146	6187	35905147	6212	35763
148	6309	36037
149	6350	35985
1150	6362	357721151	6412	357761152	6459	357611153	6501	357181154	6561	357681155	6614	357861156	6663	35780
157	6716	35791
158	6761	35762
159	6800	35703
160	6840	356481161	6889	35638
162	6928	35575
163	6957	354671164	6989	353731165	7022	352831166	7055	351951167	7086	350951168	7135	350861169	7167	349931170	7215	349821171	7274	350171172	7327	350251173	7354	349141174	7391	348451175	7437	34820176	7504	34893
177	7550	34869
178	7577	34756
179	7636	34788
180	7689	34793
181	7723	34711
1182	7750	346001183	7799	345871184	7856	346131185	7907	346061186	7951	34571187	8019	34638
188	8055	34567
189	8081	34454
190	8126	34418
191	8165	34364
192	8197	34276
193	8228	34184
194	8263	34113
1195	8275	339471196	8306	33860197	8437	34176
198	8501	34217
199	8539	34159
200	8595	34169
201	8634	34112
202	8684	34095
203	8732	34073
204	8779	34047
205	8843	34086
206	8884	34035
207	8912	33936
208	8954	33889
209	8982	33792
210	9012	33700
211	9061	33680
212	9113	33673
213	9146	33595
214	9193	33565
215	9234	33517
216	9292	33530
217	9327	33458
218	9366	33402
219	9430	33435
220	9469	33377
221	9500	33295
222	9543	33252
223	9571	33159
224	9606	33090
225	9653	33060
226	9697	33021
227	9730	32946
228	9773	32905
229	9810	32844
230	9860	32826
231	9899	32770
232	9948	32748
233	9978	32663
234	10042	32690
235	10091	32669
236	10135	32631
237	10170	32563
238	10209	32508
239	10264	32504
240	10318	32496
241	10355	32436
242	10395	32385
243	10432	32323
244	10469	32262
245	10516	32233
246	10552	32171
247	10599	32141
248	10640	32092
249	10690	32071
250	10738	32045
251	10776	31986
252	10814	31931
253	10848	31862
254	10882	31794
255	10918	31730
256	10954	31670
257	10999	31634
258	11031	31561
259	11080	31536
260	11117	31478
261	11146	31398
262	11188	31353
263	11219	31279
264	11247	31196
265	11280	31126
266	11303	31031
267	11340	30973
268	11367	30891
269	11396	30813
270	11435	30762
271	11474	30711
272	11502	30632
273	11534	30561
274	11561	30480
275	11603	30437
276	11633	30363
277	11656	30273
278	11694	30221
279	11730	30163
280	11771	30120
281	11810	30069
282	11837	29991
283	11881	29955
284	11912	29886
285	11955	29845
286	11983	29769
287	12014	29701
288	12070	29696
289	12106	29639
290	12138	29574
291	12177	29527
292	12203	29446
293	12243	294002294	12286	293632295	12319	293012296	12354	292422297	12407	292282298	12444	291762299	12486	291353300	12541	291233301	12575	290643302	12619	290283303	12648	289573304	12689	289153305	12738	28890
306	12775	288373307	12810	287803308	12849	287343309	12888	286873310	12928	286423311	12970	286023312	13021	285793313	13055	285213314	13092	284703315	13139	284423316	13178	28393
317	13211	283343318	13235	282543319	13266	281913320	13302	28138321	13319	28045
322	13349	27981
323	13379	27915
324	13415	27863
3325	13466	278423326	13503	277923327	13538	277373328	13570	276783329	13622	27657
330	13656	27600
331	13706	27578
332	13731	27504
333	13778	27475
334	13817	27429
335	13862	27394
336	13905	27356
337	13946	27315
338	13989	27278
339	14037	27249
340	14082	27214
341	14114	27155
342	14145	27095
343	14184	27050
344	14226	27009
345	14264	26962
346	14293	26897
347	14331	26850
348	14363	26792
349	14383	26712
350	14432	26686
351	14474	26645
352	14509	26594
353	14544	26541
354	14588	26505
355	14624	26456
356	14668	26419
357	14709	26378
358	14737	26313
359	14766	26252
360	14806	26209
361	14843	26160
362	14881	26114
363	14915	260603364	14953	26014
365	14987	259613366	15027	259193367	15061	25865
368	15091	25806
369	15140	25779
370	15184	25743
371	15215	25686
372	15242	25622
373	15276	25569
374	15310	25518
375	15346	25467
376	15385	25425
377	15427	25386
378	15464	25338
379	15509	25304
380	15551	25265
381	15589	25221
382	15621	25165
383	15646	25099
384	15711	25097
385	15740	25038
386	15779	24994
387	15837	24980
388	15869	24926
389	15914	24892
390	15953	24848
391	15980	24786
392	16017	24739
393	16046	24681
394	16097	24656
395	16130	24603
396	16174	24567
397	16214	24525
398	16240	24461
399	16269	24403
400	16297	24344
401	16331	24294
402	16374	24257
403	16417	24220
404	16443	24158
405	16474	24103
406	16507	24051
407	16540	23999
408	16588	23970
409	16627	23927
410	16664	23882
411	16693	23824
412	16736	23788
413	16762	23726
414	16808	23694
415	16839	23639
416	16873	23590
417	16904	23536
418	16929	23475
419	16977	23445
420	17028	23418
421	17070	23380
422	17099	23325
423	17135	23278
424	17176	23238
425	17211	23190
426	17241	23136
427	17284	23099
428	17322	23056
429	17353	23004
430	17382	22947
431	17421	22906
432	17451	22851
433	17492	22812
434	17531	22770
435	17561	22717
436	17582	22651
437	17627	22617
438	17650	22555
439	17677	22498
440	17716	22456
441	17747	22404
442	17788	22365
443	17827	22324
444	17873	22291
445	17917	22256
